"Name","Url","Telephone","Latitude","Longitude","Address","County","Photo","Tags"
"Hungry Boba Pizzeria","https://www.hungrybobapizzeria.ie/","0035316336814","53.351338","-6.2795464","Unit 4, 8 Grangegorman Lower, Dublin, D07 X97Y","Dublin","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/cdad6332-8eba-4c68-af2b-7f6b0d80f58c/outside-hungry.jpg?w=640&q=66&fit=scale","Activity Food and Drink Experience Restaurant Fast Food"
"A Rural Experience Day Tours","http://www.aruralexperience.com","00353567727590","52.6297968743748","-7.07423970149609","Castlefield, Gowran, ","Kilkenny","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/89a4e685-47f0-4455-bff3-b2626f754116/a8f6867c-4b6c-448b-ac80-a8c2369cd78c_75257.jpg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Tour"
"Teach an Tae Aran Café & Tea Rooms","https://www.cafearan.ie/","003539975092","53.06546109999999","-9.5252873","Inisheer, Aran Islands, ","Galway","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/04e3dc5d-4e7e-4d38-b30f-3a2d8f1419a0/b12590e3-65f2-41e7-94b0-072fd235a0f6_82051.jpg?w=640&q=66&fit=scale","Activity,Food and Drink,Experience,Cafe,Food Shops ,Shopping"
"A Heritage Walk of Old Galway",,"00353863480958","53.27056400000001","-9.0566819",", Galway City, ","Galway",,"Activity Experience Walking Activity Operator Tour"
"A Spasso A Dublino - Italian Tour in Dublin","https://www.aspassoperdublino.com/","00353899644861","53.34224002305713","-6.251647725944508","15 Bawnville Close, , ","Dublin","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/9e3581c4-effb-4f10-9d3b-19927d80bdfc/b43f20fa-3ca3-4950-b8bd-1fbb7d93ad78_96700.jpg?w=640&q=66&fit=scale","Activity,Walking ,Walking,Activity Operator,Tour"
"A Touch of Ireland","https://atouchofireland.ie/","0035316680888","53.336932","-6.236283","Garden Level 39, Waterloo Road, Ballsbridge, ","Dublin","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/cebdb477-e331-4c8c-b91f-48580a8621cb/a4304998-1e7b-41ec-b7d4-9bf062df39f4_30003.jpg?w=640&q=66&fit=scale","Activity,Activity Operator,Tour"
"Aasleagh Falls",,"","53.61960449999999","-9.6705825","River, Letterass, Erriff, , ","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/32276393-96c0-4d8d-8d06-92c81b2811c5/aasleagh-falls-mayo.jpg?w=640&q=66&fit=scale","Activity,Experience,Fishing,Angling,Nature and Wildlife"
"Abbey Ireland & UK","https://www.abbey.ie/","0035316486100","53.34460968243019","-6.276829060188334","City Gate, 22 Bridge Street Lower, Dublin City, ","Dublin","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/27471efc-1fc8-4568-810f-74b95a217a28/313ed851-2dd5-4dd1-a9a3-07e05c8ed568_31330.jpg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Tour"
"Abbey Par 3 Golf Club","http://abbeypar3.com/","00353866084257","52.2321168","-6.863133599999999","Winningtown, Fethard, ","Wexford",,"Golf Course,Activity,Experience,Golf,Cafe,Food and Drink,Activity Operator,Food Shops ,Shopping"
"Abbey Theatre","https://www.abbeytheatre.ie/","0035318787222","53.3483986","-6.257178199999999","26/27 Abbey Street Lower, North City, Dublin, D01 K0F1","Dublin","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/33b6708b-9cb2-41fd-9cc2-a869ae80f3ba/stage.jpg?w=640&q=66&fit=scale","Activity"
